src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
162.159.133.234,192.168.1.244,443,52499,6,2025-11-13 20:19:45,90.85306978225708,869.623890412888,3.9624417849918956,2.1243090680650996,1.838132716926796,193,167,69748,9260,1486,54,361.38860103626945,305.649261001712,175,54,55.449101796407184,13.162120701046582,1486,54,219.46666666666667,271.0024784634512,73442.34333333332,3860,3340,20,191,0.2530726177778749,3.567673921585083,0.0,0.45605897497370884,90.81267595291138,3.6077098846435547,0.0,0.47298268725474674,0.5852706343167462,90.81303381919861,3.601771831512451,0.0014188289642333984,0.547066468790353,0.5778989110495286,184,2,0,0,0,0,0,186,360,0,0,0.8652849740932642,219.46666666666667,19,251,0,0,0,0,0,0,0,0,2688.7,8.55,0,0,1384.5616945493575,0,361.38860103626945,55.449101796407184,0,193,167,69748,9260
192.168.1.244,142.250.80.46,50735,443,6,2025-11-13 20:19:44,92.61488103866577,590.8445747196344,1.716786743305529,0.6046544504723875,1.1121322928331414,56,103,36485,18236,4756,54,651.5178571428571,954.4752670422678,1173,54,177.04854368932038,268.0962868126553,4756,54,344.15723270440253,647.1375631133941,418787.02559234214,1120,2060,20,39,0.5861701331561124,11.035125970840454,0.0,1.9619770369466007,92.59042096138,17.195523023605347,0.0,1.6834621992978183,3.43874952255091,92.60335087776184,11.052989959716797,0.0,0.9078759889976651,2.387690338300783,39,47,0,0,0,0,0,86,159,0,0,1.8392857142857142,344.15723270440253,254,7392,0,0,0,0,0,0,0,0,8388.0,4.0,1330.25,4.0,2784693.8382143425,937962.9984029587,651.5178571428571,177.04854368932038,0,56,103,36485,18236
192.168.1.244,216.239.38.180,65372,443,6,2025-11-13 20:19:44,92.72936201095581,89.50778717769427,0.42057875902772,0.1617610611645077,0.25881769786321235,15,24,4632,3668,1962,54,308.8,461.50033586119963,569,54,152.83333333333334,186.27011449922813,1962,54,212.82051282051282,330.19030035877654,109025.63445101908,300,480,20,11,2.4402463687093636,30.874666213989258,0.0,8.29515757578552,92.71389317512512,30.90470004081726,0.0,6.622420941080366,12.624430668211145,92.71517586708069,30.874666213989258,0.0,4.031094602916552,10.363782841262523,11,12,0,0,0,0,0,23,39,0,0,1.6,212.82051282051282,255,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.8,152.83333333333334,0,15,24,4632,3668
192.168.1.244,142.250.80.78,63707,443,6,2025-11-13 20:19:46,93.83480405807495,3889.175276309378,6.479472154316057,1.8436655965405886,4.635806557775468,173,435,297949,66991,4739,54,1722.2485549132948,1893.2076983488914,1466,54,154.0022988505747,284.4564366691873,4739,54,600.2302631578947,1256.3535370813315,1578424.2101367728,3460,8700,20,132,0.1545878155816721,5.038244009017944,0.0,0.6899675214014275,93.81151604652405,6.502531051635742,0.0,0.5454157909681631,1.2554404765434968,93.81672191619873,5.042612075805664,0.0,0.2161675620188911,0.8125616550103584,132,152,0,0,0,0,0,284,608,0,0,2.514450867052023,600.2302631578947,252,13967,0,0,0,0,0,0,0,0,11389.5,4.0,1118.6363636363637,4.03030303030303,17638.134107863534,0,1722.2485549132948,154.0022988505747,0,173,435,297949,66991
192.168.1.137,224.0.0.251,5353,5353,17,2025-11-13 20:19:48,91.86279487609863,8.251436297168667,0.054428999321693046,0.054428999321693046,0.0,5,0,758,0,168,127,151.6,20.08581589082206,0,0,0,0.0,168,127,151.6,20.08581589082206,403.44000000000005,100,0,20,5,22.965698719024658,88.7812659740448,0.0,38.00553262297608,91.86279487609863,88.7812659740448,0.0,22.965698719024658,38.00553262297608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,151.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.6,0,0,5,0,758,0
192.168.1.244,35.186.224.30,57064,443,6,2025-11-13 20:19:50,93.10085391998291,13.88816477570969,0.1825976807324553,0.09666936038777046,0.08592832034468485,9,8,701,592,97,54,77.88888888888889,21.36687178499799,94,54,74.0,20.0,97,54,76.05882352941177,20.825523334248498,433.70242214532874,180,160,20,5,5.818803369998932,30.926584005355835,0.0,12.058165645220123,93.10085391998291,30.926584005355835,0.0,11.637606739997864,14.935994575975421,93.0348539352417,30.994395971298218,0.011956214904785156,13.290693419320244,15.329883887633702,5,4,0,0,0,0,0,9,17,0,0,0.8888888888888888,76.05882352941177,255,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.88888888888889,74.0,0,9,8,701,592
192.168.1.244,74.125.174.102,53661,443,6,2025-11-13 20:19:51,95.23329997062683,378917.3956077339,287.1684590204797,26.19881911862282,260.96963990185685,2495,24853,189530,35896024,2418,54,75.96392785571142,211.3060661898281,1462,54,1444.3336418138656,153.059221066835,2418,54,1319.4951733216324,424.97515213405313,180603.87993136162,49900,497060,20,27,0.0034824039189171327,10.558243036270142,0.0,0.1590516713285724,95.23323011398315,10.558243036270142,0.0,0.03818493589173342,0.5255224294673104,95.21032786369324,10.577288150787354,0.0,0.003831093186210093,0.16725147963386586,27,6415,0,0,0,0,0,6442,27348,0,0,9.961122244488978,1319.4951733216324,254,1029,0,0,0,0,0,0,0,0,0,0,2657995.230769231,1909.3076923076924,0,4195638.315916571,75.96392785571142,1444.3336418138656,0,2495,24853,189530,35896024
192.168.1.244,172.217.74.94,61458,443,6,2025-11-13 20:19:51,90.34209203720093,41.24323353576662,0.22138074898425456,0.11069037449212728,0.11069037449212728,10,10,1176,2550,297,54,117.6,91.1824544525974,1466,54,255.0,426.6075479876089,1466,54,186.3,316.02817912331807,99873.81,200,200,20,8,4.754846949326365,45.01585602760315,0.0,13.808738337427624,90.28538703918457,45.07688593864441,0.0,10.031709671020508,18.72856877881556,90.29228591918945,45.07256102561951,0.0,10.032476213243273,18.72591041563348,6,4,0,0,0,0,0,10,20,0,0,1.0,186.3,255,1044,0,0,0,0,0,0,0,0,0,0,1986.0,4.0,0,20689.25645337155,117.6,255.0,0,10,10,1176,2550
142.251.40.238,192.168.1.244,443,57633,6,2025-11-13 20:19:52,90.27336692810059,21.667520184085767,0.21047182182905397,0.13292957168150776,0.0775422501475462,12,7,1269,687,227,54,105.75,61.43712911044374,283,54,98.14285714285714,77.31647130265243,283,54,102.94736842105263,67.82133935585584,4599.73407202216,240,140,20,7,5.015187051561144,45.08277201652527,0.0,14.153301170233703,90.27336692810059,45.1322660446167,0.0,8.206669720736416,17.382731339840806,90.25413084030151,45.08277201652527,0.00022077560424804688,15.042355140050253,21.222023954044353,7,3,0,0,0,0,0,10,19,0,0,0.5833333333333334,102.94736842105263,1043,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.75,98.14285714285714,0,12,7,1269,687
142.250.80.42,192.168.1.244,443,62566,6,2025-11-13 20:19:52,90.10707902908325,36.78956232650755,0.15537070062476796,0.0887832574998674,0.06658744312490054,8,6,2919,396,1078,66,364.875,422.2459110222383,93,54,66.0,16.431676725154983,1078,54,236.78571428571428,351.95518760437767,123872.45408163266,160,120,20,6,6.931313771467942,45.03805208206177,0.0,16.240933050896846,90.10707902908325,45.06476593017578,0.0,12.872439861297607,20.34954948747283,90.07715797424316,45.03805208206177,0.0001380443572998047,18.015431594848632,22.059668335801152,6,2,0,0,0,0,0,8,14,0,0,0.75,236.78571428571428,1043,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.875,66.0,0,8,6,2919,396
35.244.180.134,192.168.1.244,443,64520,17,2025-11-13 20:19:53,90.35593295097351,77.3828543588146,0.498030384174293,0.2545488630224164,0.2434815211518766,23,22,3462,3530,422,70,150.52173913043478,104.74269490568716,446,71,160.45454545454547,154.67641510078306,446,70,155.37777777777777,131.63827354431686,17328.635061728393,460,440,20,23,2.0535439307039436,15.615961074829102,0.0,5.11946087640447,90.35593295097351,15.657641172409058,0.0,4.107087861407887,6.6398364228431745,90.32628202438354,15.63495397567749,0.004055976867675781,4.301251524970645,6.74251170022773,0,0,0,0,0,0,0,0,0,0,0,0.9565217391304348,155.37777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.52173913043478,160.45454545454547,0,23,22,3462,3530
192.168.1.244,52.182.143.214,60846,443,6,2025-11-13 20:19:54,92.32736206054688,768.3096150140329,1.1480886882751704,0.5523822934154122,0.5957063948597583,51,55,66503,4433,9753,54,1303.9803921568628,2343.3602192711624,153,54,80.6,41.101028520641,9753,54,669.2075471698113,1736.8267134046132,3016567.0323958704,1020,1100,20,41,0.8793082101004465,19.128942012786865,0.0,3.009806172224125,92.32736206054688,19.310383081436157,0.0,1.8465472412109376,4.206011318040738,92.2183768749237,19.185714960098267,0.0,1.7077477199059945,4.055854643340753,41,18,0,0,0,0,0,59,106,0,0,1.0784313725490196,669.2075471698113,253,16380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303.9803921568628,80.6,0,51,55,66503,4433
192.168.1.244,192.168.1.255,57621,57621,17,2025-11-13 20:19:54,90.02375602722168,4.776516988137833,0.055540895210905036,0.055540895210905036,0.0,5,0,430,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,100,0,20,5,22.50593900680542,30.012977123260498,0.0,12.99381035847817,90.02375602722168,30.012977123260498,0.0,22.50593900680542,12.99381035847817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,5,0,430,0
192.168.1.244,140.82.112.22,58694,443,6,2025-11-13 20:19:54,103.13693404197693,629.735609297496,0.3878339061709932,0.1551335624683973,0.23270034370259596,16,24,61117,3832,13236,54,3819.8125,5217.7586330093645,518,54,159.66666666666666,184.61822469325418,13236,54,1623.725,3758.4109141198223,14125652.599375,320,480,20,6,2.6445367703071008,40.83537697792053,0.0,8.757251547714201,103.13693404197693,40.83537697792053,0.0,6.875795602798462,13.05021607496274,103.06108498573303,40.916449785232544,0.0,4.480916738510132,11.083205681918761,6,9,0,0,0,0,0,15,40,0,0,1.5,1623.725,255,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3819.8125,159.66666666666666,0,16,24,61117,3832
142.251.40.202,192.168.1.244,443,63765,6,2025-11-13 20:19:55,101.9187741279602,12.195986565138618,0.11774081961517571,0.06868214477551916,0.04905867483965655,7,5,973,270,139,139,139.0,0.0,54,54,54.0,0.0,139,54,103.58333333333333,41.90556513028894,1756.0763888888887,140,100,20,7,9.265343102541836,20.72176694869995,0.0,10.106054277761547,101.87776303291321,20.72176694869995,0.0,16.979627172152203,7.59558152949794,101.86422801017761,41.157373905181885,20.184720993041992,25.466057002544403,9.059441123442285,7,0,0,0,0,0,0,7,12,0,0,0.7142857142857143,103.58333333333333,1036,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.0,54.0,0,7,5,973,270
192.168.1.244,172.64.41.4,54969,443,6,2025-11-13 20:20:05,91.96853804588318,255.57653192522574,1.250427618438671,0.6415237346772311,0.6089038837614398,59,56,7972,15533,213,54,135.11864406779662,63.78940051842807,553,54,277.375,223.05152851975706,553,54,204.3913043478261,177.11704288663856,31370.446880907366,1180,1120,20,45,0.8067415618059928,22.262471914291382,0.0,3.470080531115891,91.96853804588318,22.262471914291382,0.0,1.5856644490669514,4.736308717073631,91.93889594078064,22.28470802307129,0.0,1.6716162898323752,4.856594152291502,45,46,0,0,0,0,0,91,115,0,0,0.9491525423728814,204.3913043478261,255,395,0,0,0,0,0,0,0,0,564.375,5.25,1491.25,5.5,466320.6737256833,492907.9821899996,135.11864406779662,277.375,0,59,56,7972,15533
