flow_id,label,duration,total_packets,total_bytes,avg_packet_size,std_packet_size,avg_iat,std_iat,cv_iat,burst_ratio,small_packet_ratio,large_packet_ratio,packet_rate,byte_rate
0,0,340.16926097869873,218,36580,138.3847266606173,108.82659746563223,2.3403543301714143,5.900455978321705,2.521180618786703,1.0,0.3333333333333333,0.0,0.6396451739202712,107.13225567700482
0,0,2679.0521380901337,1642,611615,198.69877004265993,251.1784299033738,7.973020855137075,13.338321517895043,1.6729319739959123,0.6153846153846154,0.4230769230769231,0.0,0.5655572767140017,208.6358004463999
0,0,532.3921499252319,113,50488,569.7941922445373,1198.6697801898838,8.493717157276635,19.361418723810317,2.27949887726403,0.6,0.2,0.2,0.20725531648194964,87.75515168522331
0,0,346.95467376708984,92,24529,245.19683257918552,332.0930735809886,10.39930258919211,23.783983190816397,2.287074828992364,0.6666666666666666,0.0,0.0,0.2841325136799664,73.96809315587188
0,0,237.06032800674438,31,7931,222.01666666666665,171.1659951436837,10.100487806399663,16.791757866201966,1.662469990366477,0.5,0.0,0.0,0.1411243848814912,37.80582907867566
0,0,434.2100100517273,52,8647,163.63970588235293,167.0669323656252,20.144074660291274,28.243814169443198,1.4020904233997118,0.75,0.5,0.0,0.1248110883255277,22.4031939183819
0,0,284.3835496902466,44,9180,154.9125,226.08330047168872,31.894428619971645,48.272544696593826,1.51351025195562,0.5,0.5,0.0,0.20936727988527706,44.750750293275935
0,0,1082.3000860214233,1410,627585,235.24662624799666,414.59830478375596,11.0333126835109,15.49234785889617,1.40414291729892,0.8,0.3,0.0,1.4001108530917965,619.3454756375238
0,0,2033.7180171012878,680,133509,148.98069352714154,127.02462028265609,4.009139260382851,7.7595143155170625,1.9354564188364143,0.4444444444444444,0.5555555555555556,0.0,89.5240225810328,10876.257719502986
0,0,228.70043396949768,75,18652,200.5857213438735,299.18954388748284,3.6194943312442662,9.348031066879809,2.5826897934845654,0.75,0.5,0.0,154.4557625745064,10740.55599401311
0,0,436.94242763519287,149,42353,177.75221815221818,205.36445977096656,2.7246631816863616,7.195859328973845,2.64100875929925,0.3333333333333333,0.5555555555555556,0.0,126.8695096310789,9287.05185418273
0,0,1361.310313463211,736,332376,199.83451195285534,195.51184739393733,2.095554664017671,4.807391021920565,2.294090010853578,0.3488372093023256,0.3953488372093023,0.0,244.67583386220056,39937.00560946186
0,0,120.14444899559021,35,7866,147.48370927318297,121.87710412048826,4.006795816951328,5.655744028190803,1.4115378688036364,0.2,0.2,0.0,139.35153158689147,25761.572812448307
0,0,602.9158780574799,1266,585406,332.48943366308674,498.1158659875774,1.576199742117361,5.246915880482013,3.32883944863083,0.7,0.2,0.0,167.3280839604651,16817.367395614645
0,0,661.9411880970001,354,213806,267.95267513068865,262.79839122975824,1.8197666828295607,5.425319062973414,2.9813267349952626,0.5333333333333333,0.13333333333333333,0.0,7.286738551796713,860.1401364273223
0,0,957.9413027763367,383,91398,170.4640934263236,177.76725397886236,3.351673052363397,4.418299871539392,1.3182371318777273,0.36,0.44,0.0,113.55259297098998,15574.1527282701
0,0,539.6037847995758,145,34455,180.45014167947878,173.60703095961932,3.542393724114224,7.227706561664179,2.0403453496608335,0.35714285714285715,0.42857142857142855,0.0,68.02757791131934,8558.273670288521
0,0,554.3108017444611,345,80562,205.40578616215228,277.0566777336796,2.439678674637559,6.57625278265125,2.695540544341654,0.4166666666666667,0.08333333333333333,0.0,102.96138390056872,16403.065090527893
0,0,273.42566680908203,71,15943,229.49343185550083,124.39966242700335,3.9565689972468783,8.23973556405231,2.0825456525049386,0.3333333333333333,0.16666666666666666,0.0,43.036958610422836,6052.925340226622
0,0,680.8388159275055,265,71716,208.39897824268905,266.34215787601244,8.477564141958505,10.422324358320765,1.2294008259680331,0.7,0.3,0.0,84.86037157651631,6687.979609081708
0,0,1899.7599394321442,1609,639474,186.82498327662086,216.1168873201576,4.36713086636775,6.464380202043296,1.4802350558869053,0.35555555555555557,0.26666666666666666,0.0,149.48026633124556,16584.187298036515
0,0,152.30172443389893,56,14074,154.8406862745098,112.54223149095128,5.173409599697951,7.7174566024689,1.4917544133600948,0.125,0.0,0.0,119.06468883722908,15477.241321002897
0,0,327.338476896286,187,44266,212.2274046706805,192.19406437398797,1.8604883989259458,1.851709682814101,0.9952814991391977,0.3333333333333333,0.08333333333333333,0.0,35.21278983772313,7082.874083860969
0,0,90.02538299560547,5,430,86.0,0.0,22.506345748901367,12.99404512764602,0.577350284787139,0.0,1.0,0.0,0.0555398914575467,4.776430665349018
0,0,1001.8133351802826,659,285469,205.81659687193223,154.1969832140345,2.9081953277069026,5.382545698831429,1.8508198701617264,0.375,0.375,0.0,114.20612054612532,39303.6275634045
0,0,397.7225022315979,116,20399,152.38545751633984,113.0204927062814,2.5833697933041577,5.505704751054459,2.1312104698772543,0.3333333333333333,0.4166666666666667,0.0,95.18068310500588,11904.451120927668
0,0,531.9943964481354,143,23886,139.40982142857143,232.38795264133603,8.339308444145304,14.82822599283878,1.778112189056766,0.6666666666666666,0.3333333333333333,0.0,108.94044870143252,9083.003653615715
0,0,95.4592249393463,19,1366,96.03809523809525,4.966953528796281,5.20406296076598,7.624435905616854,1.46509294047715,0.0,0.6666666666666666,0.0,0.6479876393215022,39.74278631670188
0,0,2465.260454893112,1887,736811,177.9664537833679,192.22923987999278,2.4361591925486747,6.096120410176211,2.502348955200476,0.40384615384615385,0.38461538461538464,0.0,141.59093784562003,15374.654134212748
