src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.243,162.159.130.234,59377,443,6,2025-11-11 23:37:29,106.98685598373413,344.47222194849,1.5609394113365667,0.7571023492111492,0.8038370621254176,81,86,4737,32117,175,54,58.48148148148148,22.851161523878776,1486,94,373.45348837209303,299.5716576534346,1486,54,220.68263473053892,266.92307734515106,71247.9292194055,1620,1720,20,3,0.6444991324321333,13.207374095916748,0.0,1.545530630088583,106.98685598373413,13.254557132720947,0.0,1.3373356997966765,2.037068413081956,105.01950407028198,13.261427879333496,0.0,1.2355235772974351,2.005467233702736,3,83,0,0,0,0,0,86,167,0,0,1.0617283950617284,220.68263473053892,255,17,0,0,0,0,0,0,0,0,0,0,2525.3333333333335,7.5,0,1140.4705512212324,58.48148148148148,373.45348837209303,0,81,86,4737,32117
192.168.1.22,224.0.0.251,5353,5353,17,2025-11-11 23:37:30,105.27150106430054,37.47452976461661,0.13298945924071803,0.13298945924071803,0.0,14,0,3945,0,732,87,281.7857142857143,285.3722327495964,0,0,0,0.0,732,87,281.7857142857143,285.3722327495964,81437.31122448981,280,0,20,14,8.097807774176964,87.96245288848877,0.0,23.080784549638313,105.27150106430054,87.96245288848877,0.0,8.097807774176964,23.080784549638313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,281.7857142857143,0,0,0,0,0,0,0,0,0,0,972.0,4.0,0,0,1579.97388247112,0,281.7857142857143,0,0,14,0,3945,0
172.65.244.155,192.168.1.243,5223,62386,6,2025-11-11 23:37:32,101.37562489509583,183.17026424463796,0.3748435586890108,0.24660760440066504,0.1282359542883458,25,13,17777,792,1486,54,711.08,679.5022248675864,84,54,60.92307692307692,12.639751327042296,1486,54,488.6578947368421,631.6309413905273,398957.6461218837,500,260,20,17,2.739881753921509,15.459532976150513,0.0,5.201288242928425,101.37559294700623,15.459582090377808,0.0,4.223983039458592,5.956603122040705,101.37558889389038,15.459564924240112,0.2819180488586426,8.447965741157532,5.938866582454897,11,3,0,0,0,0,0,14,38,0,0,0.52,488.6578947368421,16,255,0,0,0,0,0,0,0,0,5556.0,6.0,0,0,19707.721563049174,0,711.08,60.92307692307692,0,25,13,17777,792
192.168.1.243,162.247.241.14,51993,443,6,2025-11-11 23:37:38,90.05591297149658,9.438580676751695,0.1665631884132652,0.08883370048707478,0.07772948792619043,8,7,436,414,55,54,54.5,0.5,66,54,59.142857142857146,5.938459911664722,66,54,56.666666666666664,4.685675570881488,21.955555555555552,160,140,20,4,6.432565212249756,15.359547853469849,0.0,7.425863435656243,90.03827595710754,15.359591960906982,0.0,12.862610851015363,5.263536067924411,90.0422739982605,15.359588861465454,14.462584972381592,15.007045666376749,0.38125491553035384,0,0,0,0,0,0,0,0,15,0,0,0.875,56.666666666666664,255,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5,59.142857142857146,0,8,7,436,414
192.168.1.243,104.208.16.88,65373,443,6,2025-11-11 23:37:29,127.15283203125,421.2411091782542,0.621299571059372,0.2988529582310903,0.3224466128282817,38,41,50219,3343,9730,54,1321.5526315789473,2393.0457876870555,152,54,81.53658536585365,43.11646030596532,9730,54,678.0,1771.8409292261574,3139420.2784810127,760,820,20,32,1.6301645132211537,44.97119998931885,0.0,6.2020599321723004,127.15283203125,44.97119998931885,0.0,3.4365630278716215,8.671009274303618,109.40761113166809,45.0687780380249,0.0,2.7351902782917024,8.08209635076313,31,12,0,0,0,0,0,43,79,0,0,1.0789473684210527,678.0,253,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321.5526315789473,81.53658536585365,0,38,41,50219,3343
44.224.8.186,192.168.1.243,2099,62473,6,2025-11-11 23:37:45,102.40571117401123,14.510909430382636,0.156241285926058,0.078120642963029,0.078120642963029,8,8,717,769,339,54,89.625,94.25489045667604,391,54,96.125,111.45227397859588,391,54,92.875,103.26354330062473,10663.359375,160,160,20,1,6.8270474116007485,20.485140085220337,0.0,8.948094515540179,102.40567708015442,20.485179901123047,0.0,14.62938244002206,7.60506381213309,102.40567517280579,20.48517417907715,0.15554213523864746,14.629382167543683,7.578542951370426,1,1,0,0,0,0,0,2,16,0,0,1.0,92.875,27,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.625,96.125,0,8,8,717,769
192.168.1.243,192.168.1.255,57621,57621,17,2025-11-11 23:37:45,100.14902210235596,4.293601584651763,0.04992559982153213,0.04992559982153213,0.0,5,0,430,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,100,0,20,5,25.03725552558899,40.14128494262695,0.0,15.036043300312752,100.14902210235596,40.14128494262695,0.0,25.03725552558899,15.036043300312752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,5,0,430,0
34.158.255.62,192.168.1.243,4070,59698,6,2025-11-11 23:37:37,120.00064992904663,3.6083137904338187,0.05833301739731347,0.03333315279846484,0.024999864598848627,4,3,260,173,65,65,65.0,0.0,65,54,57.666666666666664,5.185449728701348,65,54,61.857142857142854,4.969293465978882,24.69387755102041,80,60,20,4,20.00010832150777,60.00465488433838,0.0,28.233570705357,120.00064992904663,60.09282302856445,0.0,40.00021664301554,28.284525268633903,60.09757900238037,60.00465488433838,0.09292411804199219,30.048789501190186,29.955865383148193,4,1,0,0,0,0,0,5,7,0,0,0.75,61.857142857142854,11,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0,57.666666666666664,0,4,3,260,173
192.168.1.243,4.249.131.160,55498,443,6,2025-11-11 23:37:32,133.12099313735962,230.33181527095212,0.43569386490493844,0.16526319013635596,0.27043067476858246,22,36,20737,9925,7194,54,942.5909090909091,2169.4779149725678,1486,54,275.69444444444446,430.817815287548,7194,54,528.6551724137931,1416.0462873756944,2005187.0879904875,440,720,20,9,2.3354560199536776,119.96143198013306,0.0,15.800228711692949,13.06136703491211,12.345386981964111,0.0,0.6219698588053385,2.621759545223212,133.06728410720825,119.96143198013306,0.0,3.801922403063093,20.025920675616483,9,18,0,0,0,3,0,27,56,0,0,1.6363636363636365,528.6551724137931,65535,65535,0,0,0,0,0,0,0,0,0,0,3505.0,6.5,0,39242.05576517286,942.5909090909091,275.69444444444446,0,22,36,20737,9925
192.168.1.243,185.199.109.154,55486,443,6,2025-11-11 23:38:08,95.38500809669495,13.398331933928747,0.18870890047786967,0.09435445023893484,0.09435445023893484,9,9,666,612,93,54,74.0,18.439088914585774,93,54,68.0,15.427248620541512,93,54,71.0,17.26267650163207,298.0,180,180,20,5,5.61088282921735,58.37561511993408,0.0,15.78280540853344,95.38235211372375,58.37561511993408,0.0,11.92279401421547,21.30909224042995,95.37195706367493,58.44434714317322,0.0,11.921494632959366,21.337200361577906,5,3,0,0,2,0,1,8,18,0,0,1.0,71.0,2047,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,68.0,0,9,9,666,612
192.168.1.243,140.82.114.21,55499,443,6,2025-11-11 23:37:34,135.78344416618347,1036.775881363747,0.8174781592971573,0.1841167025444048,0.6333614567527526,25,86,128054,12723,43145,54,5122.16,10443.045929919106,1486,54,147.9418604651163,301.7344186706119,43145,54,1268.2612612612613,5380.57340410553,28950570.15696777,500,1720,20,11,1.2343949469653044,64.72015309333801,0.0,7.548479441510968,135.78344416618347,64.72015309333801,0.0,5.657643506924312,15.366778702203776,70.99486303329468,43.89466190338135,0.0,0.8352336827446433,5.084406291601492,8,16,0,0,0,3,0,24,109,0,0,3.44,1268.2612612612613,65535,65535,0,0,0,0,0,0,0,0,0,0,5687.0,5.0,0,1512555.91934052,5122.16,147.9418604651163,0,25,86,128054,12723
